Volume_Fraction,Volume_Fraction_Percent,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_mean_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_ci_lower_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_ci_upper_WperMk,Thermal_Conductivity_Carbon_Fiber_Carbon_Nanotubes_mean_WperMk,Thermal_Conductivity_Carbon_Fiber_Carbon_Nanotubes_ci_lower_WperMk,Thermal_Conductivity_Carbon_Fiber_Carbon_Nanotubes_ci_upper_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Carbon_Nanotubes_mean_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Carbon_Nanotubes_ci_lower_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Carbon_Nanotubes_ci_upper_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Glass_Fiber_mean_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Glass_Fiber_ci_lower_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Glass_Fiber_ci_upper_WperMk,Thermal_Conductivity_Carbon_Fiber_Glass_Fiber_mean_WperMk,Thermal_Conductivity_Carbon_Fiber_Glass_Fiber_ci_lower_WperMk,Thermal_Conductivity_Carbon_Fiber_Glass_Fiber_ci_upper_WperMk,Thermal_Conductivity_Carbon_Nanotubes_Glass_Fiber_mean_WperMk,Thermal_Conductivity_Carbon_Nanotubes_Glass_Fiber_ci_lower_WperMk,Thermal_Conductivity_Carbon_Nanotubes_Glass_Fiber_ci_upper_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Carbon_Nanotubes_mean_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Carbon_Nanotubes_ci_lower_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Carbon_Nanotubes_ci_upper_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Carbon_Nanotubes_Glass_Fiber_mean_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Carbon_Nanotubes_Glass_Fiber_ci_lower_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Carbon_Nanotubes_Glass_Fiber_ci_upper_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Glass_Fiber_mean_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Glass_Fiber_ci_lower_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Glass_Fiber_ci_upper_WperMk,Thermal_Conductivity_Carbon_Fiber_Carbon_Nanotubes_Glass_Fiber_mean_WperMk,Thermal_Conductivity_Carbon_Fiber_Carbon_Nanotubes_Glass_Fiber_ci_lower_WperMk,Thermal_Conductivity_Carbon_Fiber_Carbon_Nanotubes_Glass_Fiber_ci_upper_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Carbon_Nanotubes_Glass_Fiber_mean_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Carbon_Nanotubes_Glass_Fiber_ci_lower_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Carbon_Nanotubes_Glass_Fiber_ci_upper_WperMk
0.1579,15.7895,39.9959,14.8408,87.2404,39.7458,15.0110,84.7820,179.4238,145.0405,215.4138,23.2189,9.8614,46.9861,0.4301,0.2840,0.6284,23.1413,9.6898,47.4106,121.8035,97.5453,148.7453,119.4986,96.5551,144.4063,17.3173,7.0211,37.0575,17.2790,6.9248,37.0257,89.8834,72.1757,108.3721
0.1737,17.3684,49.1963,18.2587,107.3347,48.8710,18.4457,104.3046,197.3661,159.5445,236.9551,25.7615,10.9412,52.1314,0.4768,0.3148,0.6969,25.6754,10.7508,52.6024,135.4912,108.1735,166.4584,131.4526,106.2897,158.8469,20.7438,8.1589,45.0716,20.6902,8.0660,44.7543,99.1648,79.6240,119.9244
0.1895,18.9474,59.5361,22.0830,129.8911,59.1060,22.3214,126.2353,215.3084,174.0485,258.4963,28.3484,12.0399,57.3664,0.5244,0.3461,0.7666,28.2537,11.8304,57.8846,149.6669,119.1675,185.0745,143.4051,115.9524,173.2875,24.7402,9.5681,54.2151,24.6564,9.4763,53.6959,108.6842,87.3698,131.8676
0.2053,20.5263,71.0634,26.3603,155.0396,70.4880,26.6432,150.5695,233.2507,188.5524,280.0376,30.9809,13.1579,62.6935,0.5729,0.3780,0.8375,30.8773,12.9289,63.2598,164.2786,130.3930,204.7305,155.3570,125.6150,187.7280,29.2571,11.0671,64.3183,29.1428,11.0765,63.7029,118.4904,95.1138,144.1265
0.2211,22.1053,83.8319,31.1007,182.9100,83.0291,31.4328,177.2782,251.1930,203.0564,301.5787,33.6600,14.2957,68.1151,0.6221,0.4105,0.9096,33.5474,14.0469,68.7303,179.2957,141.9652,225.1597,167.3086,135.2777,202.1686,34.2649,12.9149,75.4116,34.1218,12.9355,74.6903,128.6093,102.8952,157.1762
0.2368,23.6842,97.8904,36.3242,213.6354,96.7371,36.7127,205.2658,269.1352,217.5603,323.1199,36.3871,15.4539,73.6338,0.6722,0.4435,0.9830,36.2654,15.1850,74.2988,194.7058,153.6106,246.7199,179.2592,144.9403,216.6092,39.7523,14.9877,87.5268,39.5772,14.9902,86.6895,139.0272,110.9850,171.0677
0.2526,25.2632,113.3004,42.0467,247.3702,111.6028,42.5072,232.0426,287.0774,232.0642,344.6610,39.1635,16.6331,79.2521,0.7232,0.4770,1.0576,39.0324,16.3436,79.9678,210.5044,165.5307,268.6979,191.2097,154.6030,231.0497,45.7245,17.1999,100.6964,45.5085,17.2025,99.7183,149.7156,119.1638,185.1937
0.2684,26.8421,130.1230,48.2796,284.2490,127.6354,48.8413,256.3333,305.0196,246.5681,366.2022,41.9905,17.8337,84.9729,0.7751,0.5112,1.1336,41.8499,17.5233,85.7402,226.6917,177.8452,291.8710,203.1603,164.2656,245.4902,52.1926,19.6131,114.9542,51.9245,19.6344,113.8217,160.6554,127.4844,199.6956
0.2842,28.4211,148.3755,55.1002,324.3716,144.8050,55.7417,280.4372,322.9618,261.0720,387.7432,44.8695,19.0563,90.7990,0.8279,0.5460,1.2110,44.7192,18.7246,91.6188,243.2718,190.1267,315.5263,215.1108,173.9283,259.9308,59.1722,22.2349,130.3349,58.8381,22.2593,129.0347,171.8271,136.0501,214.6560
0.3000,30.0000,168.0892,62.5085,366.6557,163.0511,63.2362,304.9952,340.9039,275.5759,409.2843,47.8020,20.3017,96.7332,0.8817,0.5814,1.2897,47.6418,19.9483,97.6065,260.2481,202.8445,340.1595,227.0613,183.5909,274.3713,66.6778,25.0542,146.8747,66.2504,25.0818,145.3932,183.2226,144.6294,230.4904
