Volume_Fraction,Volume_Fraction_Percent,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_mean_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_ci_lower_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_ci_upper_WperMk,Thermal_Conductivity_Carbon_Fiber_Carbon_Nanotubes_mean_WperMk,Thermal_Conductivity_Carbon_Fiber_Carbon_Nanotubes_ci_lower_WperMk,Thermal_Conductivity_Carbon_Fiber_Carbon_Nanotubes_ci_upper_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Carbon_Nanotubes_mean_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Carbon_Nanotubes_ci_lower_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Carbon_Nanotubes_ci_upper_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Glass_Fiber_mean_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Glass_Fiber_ci_lower_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Glass_Fiber_ci_upper_WperMk,Thermal_Conductivity_Carbon_Fiber_Glass_Fiber_mean_WperMk,Thermal_Conductivity_Carbon_Fiber_Glass_Fiber_ci_lower_WperMk,Thermal_Conductivity_Carbon_Fiber_Glass_Fiber_ci_upper_WperMk,Thermal_Conductivity_Carbon_Nanotubes_Glass_Fiber_mean_WperMk,Thermal_Conductivity_Carbon_Nanotubes_Glass_Fiber_ci_lower_WperMk,Thermal_Conductivity_Carbon_Nanotubes_Glass_Fiber_ci_upper_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Carbon_Nanotubes_mean_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Carbon_Nanotubes_ci_lower_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Carbon_Nanotubes_ci_upper_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Carbon_Nanotubes_Glass_Fiber_mean_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Carbon_Nanotubes_Glass_Fiber_ci_lower_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_Carbon_Nanotubes_Glass_Fiber_ci_upper_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Glass_Fiber_mean_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Glass_Fiber_ci_lower_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Glass_Fiber_ci_upper_WperMk,Thermal_Conductivity_Carbon_Fiber_Carbon_Nanotubes_Glass_Fiber_mean_WperMk,Thermal_Conductivity_Carbon_Fiber_Carbon_Nanotubes_Glass_Fiber_ci_lower_WperMk,Thermal_Conductivity_Carbon_Fiber_Carbon_Nanotubes_Glass_Fiber_ci_upper_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Carbon_Nanotubes_Glass_Fiber_mean_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Carbon_Nanotubes_Glass_Fiber_ci_lower_WperMk,Thermal_Conductivity_Carbon_Fiber_Graphene_Nanoplatelets_Carbon_Nanotubes_Glass_Fiber_ci_upper_WperMk
0.1579,15.7895,37.3806,15.5399,87.3935,37.8735,14.7974,90.3018,176.2185,148.0887,215.3680,24.2620,10.6472,53.3266,0.4246,0.2862,0.5947,22.9693,10.3059,49.5663,122.8372,100.8742,152.4197,120.8311,99.1501,145.2601,18.2901,7.8229,33.9881,17.6156,6.3724,36.8146,92.1499,74.3559,109.4877
0.1737,17.3684,45.9845,19.1140,107.5170,46.5903,18.2033,111.0927,193.8402,162.8975,236.9047,26.9189,11.8132,59.1663,0.4709,0.3172,0.6596,25.4845,11.4344,54.9941,136.6111,112.2069,169.5164,132.9141,109.0651,159.7860,21.9206,9.4827,40.3744,21.1687,7.7817,45.0200,101.6588,81.7915,121.3363
0.1895,18.9474,55.6506,23.1286,130.1228,56.3355,22.0293,134.4478,211.4620,177.7062,258.4413,29.6220,12.9994,65.1077,0.5179,0.3488,0.7255,28.0436,12.5826,60.5165,150.8837,123.5683,188.0896,144.9972,118.9801,174.3119,26.1508,10.8930,48.5603,25.2787,9.3588,54.1546,111.4462,89.5234,133.2891
0.2053,20.5263,66.4297,27.6053,155.3311,67.0594,26.2956,160.4913,229.0837,192.5150,279.9780,32.3727,14.2065,71.1536,0.5657,0.3810,0.7926,30.6477,13.7510,66.1360,165.6343,135.1312,207.2276,157.0802,128.8950,188.8379,30.9171,12.8306,57.6050,29.8723,11.1014,64.2480,121.5668,97.7504,146.0213
0.2211,22.1053,78.3758,32.5664,183.2684,78.8495,31.0237,181.2152,246.7054,207.3238,301.5146,35.1723,15.4350,77.3069,0.6143,0.4137,0.8609,33.2980,14.9401,71.8552,180.7888,146.9038,226.9484,169.1633,138.8100,203.3638,36.1857,15.0415,67.5361,34.9625,13.0146,75.3307,132.0289,106.0877,159.9769
0.2368,23.6842,91.5460,38.0356,214.0676,91.7053,36.2361,201.7143,264.3271,222.1325,323.0512,38.0219,16.6855,83.5703,0.6638,0.4469,0.9303,35.9958,16.1505,77.6768,196.3266,158.9400,247.3738,181.2463,148.7250,217.8897,41.9960,17.4559,78.3818,40.5550,15.1039,87.4343,142.8353,115.0775,174.3452
0.2526,25.2632,106.0001,44.0379,247.8684,105.6055,41.9565,223.4939,281.9488,236.9412,344.5878,40.9230,17.9586,89.9468,0.7142,0.4808,1.0010,38.7422,17.3827,83.6036,212.2454,171.4078,268.4113,193.3294,158.6399,232.4156,48.3118,20.0803,90.1715,46.6531,17.3750,100.5912,153.9312,124.5056,189.1315
0.2684,26.8421,121.8010,50.5993,284.8181,120.7110,48.2097,246.8474,299.5705,251.7499,366.1243,43.8770,19.2549,96.4396,0.7655,0.5153,1.0729,41.5388,18.6375,89.6384,228.5517,184.1199,290.0713,205.4124,168.5548,246.9415,55.1494,22.9215,102.9352,53.2547,19.8337,114.8352,165.2497,134.0204,204.3408
0.2842,28.4211,138.6384,57.7474,318.0859,137.1260,55.0220,271.0718,317.1921,266.5586,387.6608,46.8854,20.5751,103.0519,0.8177,0.5503,1.1462,44.3867,19.9152,95.7843,245.2572,197.0910,312.3641,217.4954,178.4698,261.4674,62.5255,25.9865,116.7043,60.3760,22.4860,130.2011,176.8057,143.2657,220.0095
0.3000,30.0000,156.5059,65.5113,351.4381,154.6076,62.4210,300.6666,334.8137,281.3673,409.1973,49.9496,21.9198,109.7869,0.8708,0.5860,1.2207,47.2876,21.2167,102.0442,262.3693,210.3255,335.3007,229.5784,188.3847,275.9933,70.4574,29.2823,131.5111,68.0336,25.3381,146.7247,188.5944,152.7087,236.1448
