Combination,5.00,10.00,15.00,20.00,25.00,30.00
Carbon Fiber+Carbon Nanotubes,11.42,22.87,34.72,50.83,63.03,75.30
Carbon Fiber+Carbon Nanotubes+Glass Fiber,4.27,8.36,12.48,17.91,21.89,25.76
Carbon Fiber+Glass Fiber,1.90,3.04,4.26,5.95,7.24,8.54
Carbon Fiber+Graphene Nanoplatelets,11.38,22.80,34.62,50.69,62.87,75.10
Carbon Fiber+Graphene Nanoplatelets+Carbon Nanotubes,11.21,22.61,34.06,49.26,60.58,71.79
Carbon Fiber+Graphene Nanoplatelets+Carbon Nanotubes+Glass Fiber,4.50,9.04,13.52,19.34,23.57,27.68
Carbon Fiber+Graphene Nanoplatelets+Glass Fiber,4.28,8.39,12.53,17.98,21.97,25.87
Carbon Nanotubes+Glass Fiber,6.66,12.33,17.79,24.71,29.64,34.35
Graphene Nanoplatelets+Carbon Nanotubes,17.26,33.88,50.32,71.91,87.85,103.57
Graphene Nanoplatelets+Carbon Nanotubes+Glass Fiber,6.24,12.10,17.75,24.96,30.11,35.04
Graphene Nanoplatelets+Glass Fiber,6.66,12.33,17.79,24.72,29.66,34.36
