Combination,5.000,10.000,15.000,20.000,25.000,30.000
Carbon Fiber+Carbon Nanotubes,6.415,13.921,30.212,67.059,105.605,154.608
Carbon Fiber+Carbon Nanotubes+Glass Fiber,4.399,8.942,14.713,29.872,46.653,68.034
Carbon Fiber+Glass Fiber,0.250,0.268,0.379,0.566,0.714,0.871
Carbon Fiber+Graphene Nanoplatelets,6.238,13.689,29.816,66.430,106.000,156.506
Carbon Fiber+Graphene Nanoplatelets+Carbon Nanotubes,35.504,72.323,109.545,165.634,212.245,262.369
Carbon Fiber+Graphene Nanoplatelets+Carbon Nanotubes+Glass Fiber,25.214,54.968,82.782,121.567,153.931,188.594
Carbon Fiber+Graphene Nanoplatelets+Glass Fiber,4.547,9.242,15.307,30.917,48.312,70.457
Carbon Nanotubes+Glass Fiber,6.501,13.325,20.497,30.648,38.742,47.288
Graphene Nanoplatelets+Carbon Nanotubes,52.771,105.731,158.597,229.084,281.949,334.814
Graphene Nanoplatelets+Carbon Nanotubes+Glass Fiber,35.566,72.499,108.748,157.080,193.329,229.578
Graphene Nanoplatelets+Glass Fiber,6.867,14.075,21.650,32.373,40.923,49.950
